study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,vi_yld,n2,n3,design
351,2018,DECIOLÂNDIA,MT,3,PYRA + EPOX + FLUX,15,4079.5,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,AACHECK,93.375,3506.25,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,AZOX + BENZ,38.25,3768.25,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,TFLX + PROT,23.825,3920.25,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,BIXF + TFLX + PROT,17.825,3928.75,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,PICO + TEBU,20.125,3764,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,TFLX + CYPR,59.5,3782,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
351,2018,DECIOLÂNDIA,MT,3,PICO + BENZ,27.125,3854.75,3.7646879509378706,48259.38293650781,3506.25,48259.38293650781,93.375,3.7646879509378706,12064.845734126953,9,9,1
352,2018,SAPEZAL,MT,4,PICO + CYPR,7.75,2773.8,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,PYRA + EPOX + FLUX,5.25,2908.05,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,AACHECK,28.25,2557.7,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,AZOX + BENZ,10.5,2778.3,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,TFLX + PROT,6.5,3016.825,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,BIXF + TFLX + PROT,7,3031.675,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,PICO + TEBU,8.75,2732.375,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,TFLX + CYPR,9.5,2839.425,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
352,2018,SAPEZAL,MT,4,PICO + BENZ,8,2809.825,2.9942279942279857,32158.264314574328,2557.7,32158.264314574328,28.25,2.9942279942279857,8039.566078643582,9,9,1
353,2018,NOVA MUTUM,MT,3,PICO + CYPR,6.25,3953.1,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,PYRA + EPOX + FLUX,3.5,4159.325,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,AACHECK,19.5,3987.225,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,AZOX + BENZ,4.25,4054.525,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,TFLX + PROT,0.6499999999999999,4438.375,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,BIXF + TFLX + PROT,1.15,4139.9,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,PICO + TEBU,4,3748,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,TFLX + CYPR,5,4136.475,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
353,2018,NOVA MUTUM,MT,3,PICO + BENZ,2.175,4550.175,2.2863474025974013,19367.408677850104,3987.225,19367.408677850104,19.5,2.2863474025974013,4841.852169462526,9,9,1
354,2018,CAMPO VERDE,MT,4,PICO + CYPR,47.225,2385,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,PYRA + EPOX + FLUX,18.2,3247,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,AACHECK,82.4,2032,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,AZOX + BENZ,24.85,2734.25,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,TFLX + PROT,45.4275,2483.5,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
354,2018,CAMPO VERDE,MT,4,BIXF + TFLX + PROT,39.2325,2625.5,43.47974839466099,51066.68903318904,2032,51066.68903318904,82.4,43.47974839466099,12766.67225829726,9,9,1
