study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,log_sev,vi_sev,n2,n3,design
311,2017,PONTA GROSSA,PR,3,AZOX + BENZ,1.15,4885.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,0.13976194237515863,0.13463146233078058,9,9,1
311,2017,PONTA GROSSA,PR,3,TFLX + PROT,0.675,4722.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.3930425881096072,0.3907821320876977,9,9,1
311,2017,PONTA GROSSA,PR,3,BIXF + TFLX + PROT,0.875,5074,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.13353139262452263,0.2325552443199442,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + TEBU,0.4,5010.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.916290731874155,1.1128131808278579,9,9,1
311,2017,PONTA GROSSA,PR,3,TFLX + CYPR,0.75,4748.25,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.2876820724517809,0.3165335269910352,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + BENZ,0.375,5076.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.9808292530117262,1.2661341079641408,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + CYPR,42.62,3445.2,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.752323626670471,0.0020200913486704167,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PYRA + EPOX + FLUX,32.980000000000004,3720,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.495901317131453,0.0033736233728288187,9,9,1
312,2017,CABECEIRA DO APA,MS,3,AACHECK,94.03999999999999,2283.6,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,4.543720223671869,4.149279196205955e-4,9,9,1
312,2017,CABECEIRA DO APA,MS,3,AZOX + BENZ,67.06,2953.2,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,4.205587741038083,8.159636298851538e-4,9,9,1
312,2017,CABECEIRA DO APA,MS,3,TFLX + PROT,32.84,3729.6,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.4916472845842277,0.003402448830642163,9,9,1
312,2017,CABECEIRA DO APA,MS,3,BIXF + TFLX + PROT,33.98,3876,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.525772116243786,0.003177979931767328,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + TEBU,42.38,3544.8,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.746676552840153,0.0020430358842410097,9,9,1
312,2017,CABECEIRA DO APA,MS,3,TFLX + CYPR,44.38,3440.4,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.792788917504448,0.001863044822861005,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + BENZ,21.7,4014,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,3.077312260546414,0.007792529082392489,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + CYPR,19.26,3088.8,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2.9580304063699794,0.0036403279466767583,9,9,1
313,2017,CAMPO GRANDE,MS,3,PYRA + EPOX + FLUX,9.64,3608.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2.265921108622454,0.01453111726546409,9,9,1
313,2017,CAMPO GRANDE,MS,3,AACHECK,48.38,2588.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,3.8790865051818813,5.76927641629589e-4,9,9,1
313,2017,CAMPO GRANDE,MS,3,AZOX + BENZ,7.16,3739.2,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,1.9685099809725544,0.026340682934222398,9,9,1
313,2017,CAMPO GRANDE,MS,3,TFLX + PROT,14.36,3312,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2.664446563620078,0.00654853564059419,9,9,1
313,2017,CAMPO GRANDE,MS,3,BIXF + TFLX + PROT,10.56,3614.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2.3570732782781154,0.012109472880730885,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + TEBU,17.82,3140.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2.8803214220426634,0.004252434921079707,9,9,1
313,2017,CAMPO GRANDE,MS,3,TFLX + CYPR,20.66,3036,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,3.0281994636914926,0.003163679212869479,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + BENZ,4.78,3896.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,1.5644405465033646,0.05910133379285515,9,9,1
314,2017,MARACAJU,MS,3,PICO + CYPR,20.68,3506.4,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3.0291670496402285,0.0051027265456252404,9,9,1
314,2017,MARACAJU,MS,3,PYRA + EPOX + FLUX,14.780000000000001,3753.6,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,2.693274915520056,0.009989747148735352,9,9,1
314,2017,MARACAJU,MS,3,AACHECK,52.18,2404.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3.9546992797085823,8.014846598044684e-4,9,9,1
314,2017,MARACAJU,MS,3,AZOX + BENZ,10.7,3921.6,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,2.3702437414678603,0.01906056669618133,9,9,1
314,2017,MARACAJU,MS,3,TFLX + PROT,14.56,3762,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,2.67827804276854,0.010293915858996685,9,9,1
314,2017,MARACAJU,MS,3,BIXF + TFLX + PROT,13.2,3864,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,2.580216829592325,0.012524358821429063,9,9,1
314,2017,MARACAJU,MS,3,PICO + TEBU,18.46,3616.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,2.9156062290747062,0.006403832599447253,9,9,1
314,2017,MARACAJU,MS,3,TFLX + CYPR,21.8,3472.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3.0819099697950434,0.004591878379441545,9,9,1
314,2017,MARACAJU,MS,3,PICO + BENZ,6.54,4237.2,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,1.8779371654691073,0.05102087088268383,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PICO + CYPR,27.96,2913.6,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3.3307749173656096,0.002866691641600785,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PYRA + EPOX + FLUX,13.52,3184.8,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,2.604170070614818,0.012260323542398598,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,AACHECK,63.76,2100,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,4.15512603448196,5.51262813805293e-4,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,AZOX + BENZ,11.879999999999999,3230.4,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,2.474856313934499,0.015878973832350277,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,TFLX + PROT,17.4,3085.2,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,2.856470206220483,0.007402131868293225,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,BIXF + TFLX + PROT,12.68,3262.8,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,2.5400259490090797,0.013938524642277118,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PICO + TEBU,24.72,3022.8,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3.20761263258949,0.003667400851420139,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,TFLX + CYPR,28.919999999999998,2828.4,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3.3645333972905638,0.002679530699038671,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PICO + BENZ,8.52,3423.6,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,2.1424163408412245,0.03087280748479767,9,9,1
316,2017,CAFELÂNDIA,PR,3,PICO + CYPR,11.4,4549.75,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.4336133554004498,0.04098755708979673,9,9,1
316,2017,CAFELÂNDIA,PR,3,PYRA + EPOX + FLUX,10.625,4753,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.3632097148104805,0.047184989182139654,9,9,1
316,2017,CAFELÂNDIA,PR,3,AACHECK,39,4135.5,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,3.6635616461296463,0.0035021320969033424,9,9,1
316,2017,CAFELÂNDIA,PR,3,AZOX + BENZ,19.725,4545,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.981886866731938,0.013690764923631448,9,9,1
316,2017,CAFELÂNDIA,PR,3,TFLX + PROT,9.75,4753.75,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.277267285009756,0.05603411355045348,9,9,1
316,2017,CAFELÂNDIA,PR,3,BIXF + TFLX + PROT,11.575,4781.5,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.448847599972298,0.03975756135926359,9,9,1
316,2017,CAFELÂNDIA,PR,3,PICO + TEBU,8.15,4584.75,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.0980179272527715,0.0801948574562834,9,9,1
316,2017,CAFELÂNDIA,PR,3,TFLX + CYPR,8.950000000000001,4571.5,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.191653532286764,0.06649908454030752,9,9,1
316,2017,CAFELÂNDIA,PR,3,PICO + BENZ,13.8,4587.5,21.306971677559936,12241.05555555556,4135.5,12241.05555555556,39,21.306971677559936,2.624668592163159,0.02797071476260231,9,9,1
317,2017,JATAÍ,GO,3,PICO + CYPR,6.925,1942.5,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,1.9351380520734023,0.0049380567564121175,9,9,1
317,2017,JATAÍ,GO,3,PYRA + EPOX + FLUX,1.6,2176,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,0.47000362924573563,0.09250296798406867,9,9,1
317,2017,JATAÍ,GO,3,AACHECK,41.025,1707,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,3.7141816369761544,1.407014111885172e-4,9,9,1
317,2017,JATAÍ,GO,3,AZOX + BENZ,0.925,2543.25,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,-0.0779615414697118,0.2767656368610265,9,9,1
317,2017,JATAÍ,GO,3,TFLX + PROT,4.05,2128,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,1.3987168811184478,0.014437286879391302,9,9,1
317,2017,JATAÍ,GO,3,BIXF + TFLX + PROT,5.05,2333.75,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,1.6193882432872684,0.009285662113095417,9,9,1
317,2017,JATAÍ,GO,3,PICO + TEBU,6.55,2076,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,1.8794650496471605,0.005519668971253793,9,9,1
317,2017,JATAÍ,GO,3,TFLX + CYPR,8.825,2085.5,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,2.1775886028193603,0.0030406484031068816,9,9,1
317,2017,JATAÍ,GO,3,PICO + BENZ,1.3,2411.75,0.9472303921568633,32183.0247821351,1707,32183.0247821351,41.025,0.9472303921568633,0.26236426446749106,0.14012283907645906,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,PICO + CYPR,33.75,2530.75,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,3.518980417318539,9.914796584690772e-4,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,PYRA + EPOX + FLUX,8.5,2938.5,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,2.1400661634962708,0.015631242885466204,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,AACHECK,69.5,2292.75,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,4.241326752570746,2.3380928491795107e-4,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,AZOX + BENZ,9.5,2955.75,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,2.2512917986064953,0.012513654276730561,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,TFLX + PROT,11,2996.75,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,2.3978952727983707,0.00933353139235482,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,BIXF + TFLX + PROT,5.75,3132.5,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,1.749199854809259,0.03415825477428909,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,PICO + TEBU,17.5,2793.25,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,2.8622008809294686,0.003687697301142639,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,TFLX + CYPR,26.25,2648.75,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,3.2676659890376327,0.0016389765782856172,9,9,1
318,2017,LUCAS DO RIO VERDE,MT,4,PICO + BENZ,11,2945,4.517429193899733,29532.506263616535,2292.75,29532.506263616535,69.5,4.517429193899733,2.3978952727983707,0.00933353139235482,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,PICO + CYPR,19.5,2382.75,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.970414465569701,0.006815977906978403,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,PYRA + EPOX + FLUX,14,2530,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,2.6390573296152584,0.013223344893512947,9,9,1
319,2017,LUCAS DO RIO VERDE,MT,4,AACHECK,76.5,1650.5,10.36710239651415,21112.618464052106,1650.5,21112.618464052106,76.5,10.36710239651415,4.33729074083249,4.428682300189735e-4,9,9,1
